artist,song,tag,content,tag_2,prompt_baseline_gemma,sentence,generated_content,id
5 Seconds of Summer,No Shame,[Verse 1: Luke],"Angel, with the gun in your hand
Pointin' my direction, givin' me affection
Love is fatal, won't you give it a chance?
Center of attention, don't you ask me any questions",[Verse],"Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Verse)
Sun sets low, shadows grow, whispers start to creep
But I'm dancing solo, letting go of every deep-seated weep
No reflection in the glass, no tears I dare to shed
'Cause in the quiet of this night, I'm finally free from dread.",0
5 Seconds of Summer,No Shame,"[Pre-Chorus: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Guitar strum, upbeat tempo)

Shadows linger, whispers in the night
But I'm casting them all out, gonna shine my light
Got scars and secrets, demons in my past
But I'm dancing free, no chains, no cast.",1
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Chorus)
No chains on my heart, no fear in my soul
Found my own rhythm, got my own rhythm to roll
No apologies, no tears I will shed
No shame in my story, 'cause I'm finally free instead.",2
5 Seconds of Summer,No Shame,[Verse 2: Luke],"Lay me in the palm of your hand
I'll give you my permission, you'll always be forgiven
Go on, replace me
When you're cravin' somethin' sweeter than the words I left in your mouth
Go on and spit me out
You might also like",[Verse],"Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Verse)
Sun sets low, shadows grow, secrets whispered in the breeze
Got scars upon my soul, but I ain't livin' in unease
No chains around my heart, no mask I wear to hide
Embrace the imperfections, 'cause in me they confide.",3
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","No chains around my heart, no fear in my eyes
Screaming out loud, reaching for the skies
No more whispers, no more lies
No shame in the game, we rise with the tide.",4
5 Seconds of Summer,No Shame,"[Post-Chorus: All, Luke]","I love the way you're screaming my name
I love the way you're screaming my name",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","But I'm dancing like a hurricane,
Eyes wide open, feel the rain.
No chains around my soul today,
No shame in letting feelings play.",5
5 Seconds of Summer,No Shame,"[Bridge: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Bridge],"Write the [Bridge] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Bridge)
Shadows linger in the corners of our eyes
Memories we can't erase, butterflies in disguise
But I won't be held hostage by whispers in the night
No chains of judgment, I'm dancing in the limelight.",6
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","(Chorus)
No chains around my heart, no fear in my eyes
Got scars and shadows, but I'm reaching for the skies
No hiding in the shadows, no whispers in the night
Got love to share, and I'm letting all the darkness take flight.",7
5 Seconds of Summer,No Shame,"[Post-Chorus: All, Luke]","I love the way you're screaming my name
I love the way you're screaming my name",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","No chains around my heart, no fear in my eyes
No hiding in the dark, no more silent cries
I'm letting go of every doubt, embracing all I've got
No shame in who I am, I'm dancing on my own plot.",8
ABBA,Dancing Queen,[Chorus],"You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","(Chorus)
Dancing queen, shining bright,
Lights upon your dancing might.
Spinning round in circles bold,
Queen of the night, young and old.",9
